"sfhw","hw2","maxp"
0.00626364662587038,3.40626068455149e-07,3.51734246099183
2.65495667985229,9.30086788210313e-07,3.51090266898049
0.897756116898223,2.15294386161554e-06,3.50416619299505
8.07068416481123,1.22261069605816e-06,3.49567147182586
0.943442389864328,9.29796671283437e-07,3.48489367764586
6.25158880871215,1.15988596740335e-06,3.48042151314005
0.868571585692223,8.48743390585097e-07,3.47521399282067
0.783079762507449,9.86655277118989e-07,3.47157281190536
2.22563375987953,1.1943711445699e-06,3.46855348306129
2.19291305362365,1.06812035807537e-06,3.46484063749159
0.0788245142918634,6.09781299829993e-07,3.46218197970823
2.11540141771862,1.04803612135361e-06,3.45888460014355
2.22413922112208,1.19745532149986e-06,3.45519316475645
0.120954658686899,6.75937380960255e-07,3.45117843217803
0.00784252199688933,4.94560402580302e-07,3.44742872845682
0.136653551760802,7.12926304386051e-07,3.44267244574429
2.77770009337703,1.67654933610775e-06,3.43518455428221
0.0465670461021435,5.19351232991857e-07,3.43167599300202
0.0900899541650577,1.23182976385914e-06,3.42837730974307
5.51370100544006,1.06097421153603e-06,3.42452353268549
1.73871444913581,1.60178813874619e-06,3.4198983433475
2.95469799924556,1.85682512963717e-06,3.41852527861283
0.0424832141864308,2.2979223287378e-07,3.41641691824184
3.27045795863329,1.0799677584602e-06,3.40953205672118
3.39090068525551,1.17656936860204e-06,3.40823219216542
1.56135490314841,1.24730784252355e-06,3.40320035180725
0.0369508088364647,2.56555613610298e-07,3.40113999660224
2.19091760017574,1.05409423784681e-06,3.39316450170629
0.0270502389306972,1.7020873267898e-06,3.38830380300697
0.00719440730311732,6.12124701023965e-07,3.38213172453019
0.0225376994896432,9.19367670800516e-07,3.37755872211692
0.0213455430584177,1.21904868446941e-06,3.37583828938618
0.0432310061342894,1.3827759765617e-06,3.37217708890665
